Group,Num,Time,Priority,Category,Message,Source,Destination,Notes,Rule
1,93,UTC 11/01/2014 07:29:30.752,Notice,Network Access,TCP connection dropped,"195.38.126.219,2272,X1","173.240.220.68,26965,X1",Port: 26965,
1,94,UTC 11/01/2014 07:29:57.288,Notice,Network Access,UDP packet dropped,"124.176.158.241,25298,X1","173.240.220.68,25091,X1",Port: 25091,
1,95,UTC 11/01/2014 07:29:57.624,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1281,X0",Port: 1281,
1,96,UTC 11/01/2014 07:29:57.624,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.8,3,X0,complab-spare.complab.eng","ICMP Destination Unreachable,Code: 3",
1,97,UTC 11/01/2014 07:30:04.784,Notice,Network Access,UDP packet from LAN dropped,"172.30.3.212,68,X0","255.255.255.255,67",UDP Port: 67,
1,98,UTC 11/01/2014 07:30:10.432,Notice,Network Access,Web management request allowed,"180.188.253.18,56667,X1,pacenet.253.188.180.IN-ADDR.ARPA","173.240.220.68,80,X1",TCP HTTP,
1,99,UTC 11/01/2014 07:30:58.096,Notice,Network Access,UDP packet dropped,"147.30.160.182,1031,X1","173.240.220.68,25091,X1",Port: 25091,
1,100,UTC 11/01/2014 07:30:58.176,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1293,X0",Port: 1293,
1,101,UTC 11/01/2014 07:31:04.704,Notice,Network Access,TCP connection dropped,"195.38.126.219,2372,X1","173.240.220.68,26965,X1",Port: 26965,
1,102,UTC 11/01/2014 07:31:05.016,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.6,3,X0,complab-bdc.complab.eng","ICMP Destination Unreachable,Code: 3",
1,103,UTC 11/01/2014 07:31:08.912,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
1,104,UTC 11/01/2014 07:31:17.528,Notice,Network Access,Web management request allowed,"216.255.240.34,54134,X1","173.240.220.68,80,X1",TCP HTTP,
1,105,UTC 11/01/2014 07:31:58.240,Notice,Network Access,UDP packet dropped,"92.46.218.169,24515,X1","173.240.220.68,25091,X1",Port: 25091,
1,106,UTC 11/01/2014 07:31:58.560,Info,Network Access,DNS packet allowed,"172.30.2.5,53,X0,complab-ad.complab.eng","172.30.51.1,1301,X0",Port: 1301,
1,107,UTC 11/01/2014 07:32:06.192,Notice,Network Access,TCP connection dropped,"95.83.190.176,54142,X1","173.240.220.68,20475,X1",Port: 20475,
1,108,UTC 11/01/2014 07:32:10.816,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.8,3,X0,complab-spare.complab.eng","ICMP Destination Unreachable,Code: 3",
1,109,UTC 11/01/2014 07:32:10.912,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
1,110,UTC 11/01/2014 07:32:25.448,Notice,Network Access,Web management request allowed,"180.188.253.18,56785,X1,pacenet.253.188.180.IN-ADDR.ARPA","173.240.220.68,80,X1",TCP HTTP,
1,111,UTC 11/01/2014 07:33:06.416,Notice,Network Access,UDP packet dropped,"95.31.89.84,55000,X1","173.240.220.68,26965,X1",Port: 26965,
1,112,UTC 11/01/2014 07:33:06.688,Info,Network Access,DNS packet allowed,"172.30.2.5,53,X0,complab-ad.complab.eng","172.30.51.1,1313,X0",Port: 1313,
1,113,UTC 11/01/2014 07:33:12.768,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
1,114,UTC 11/01/2014 07:33:14.336,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1314,X0",Port: 1314,
1,115,UTC 11/01/2014 07:33:14.336,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.8,3,X0,complab-spare.complab.eng","ICMP Destination Unreachable,Code: 3",
1,116,UTC 11/01/2014 07:33:37.720,Notice,Network Access,Web management request allowed,"216.255.240.34,54172,X1","173.240.220.68,80,X1",TCP HTTP,
1,117,UTC 11/01/2014 07:34:07.720,Notice,Network Access,Web management request allowed,"216.255.240.34,54179,X1","173.240.220.68,80,X1",TCP HTTP,
1,118,UTC 11/01/2014 07:34:15.016,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
1,119,UTC 11/01/2014 07:34:15.688,Notice,Network Access,UDP packet dropped,"50.157.61.222,52008,X1","173.240.220.68,31585,X1",Port: 31585,
1,120,UTC 11/01/2014 07:34:18.544,Notice,Network Access,TCP connection dropped,"180.188.253.18,38807,X1,pacenet.253.188.180.IN-ADDR.ARPA","173.240.220.68,4433,X1",iMesh,
1,121,UTC 11/01/2014 07:34:27.304,Info,Network Access,DNS packet allowed,"172.30.2.5,53,X0,complab-ad.complab.eng","172.30.51.1,1325,X0",Port: 1325,
1,122,UTC 11/01/2014 07:34:32.736,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.6,3,X0,complab-bdc.complab.eng","ICMP Destination Unreachable,Code: 3",
1,123,UTC 11/01/2014 07:34:47.560,Notice,Network Access,Web management request allowed,"216.255.240.34,54187,X1","173.240.220.68,80,X1",TCP HTTP,
1,124,UTC 11/01/2014 07:35:17.864,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
1,125,UTC 11/01/2014 07:35:21.688,Notice,Network Access,TCP connection dropped,"180.188.253.18,38807,X1,pacenet.253.188.180.IN-ADDR.ARPA","173.240.220.68,4433,X1",iMesh,
1,126,UTC 11/01/2014 07:35:23.128,Notice,Network Access,UDP packet dropped,"81.84.155.122,34130,X1","173.240.220.68,31585,X1",Port: 31585,
1,127,UTC 11/01/2014 07:35:26.672,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1332,X0",Port: 1332,
1,128,UTC 11/01/2014 07:35:39.592,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.8,3,X0,complab-spare.complab.eng","ICMP Destination Unreachable,Code: 3",
1,129,UTC 11/01/2014 07:35:55.480,Notice,Network Access,Web management request allowed,"180.188.253.18,56975,X1,pacenet.253.188.180.IN-ADDR.ARPA","173.240.220.68,80,X1",TCP HTTP,
1,130,UTC 11/01/2014 07:36:19.752,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
1,131,UTC 11/01/2014 07:36:27.432,Info,Network Access,DNS packet allowed,"172.30.2.5,53,X0,complab-ad.complab.eng","172.30.51.1,1343,X0",Port: 1343,
1,132,UTC 11/01/2014 07:36:28.464,Notice,Network Access,UDP packet dropped,"46.71.173.99,10123,X1","173.240.220.68,31585,X1",Port: 31585,
2,1,UTC 11/01/2014 07:36:50.384,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.5,3,X0,complab-ad.complab.eng","ICMP Destination Unreachable,Code: 3",
2,2,UTC 11/01/2014 07:36:57.720,Notice,Network Access,Web management request allowed,"216.255.240.34,54228,X1","173.240.220.68,80,X1",TCP HTTP,
2,3,UTC 11/01/2014 07:37:26.912,Notice,Network Access,UDP packet dropped,"72.191.23.86,11174,X1","173.240.220.68,31585,X1",Port: 31585,
2,4,UTC 11/01/2014 07:37:26.928,Info,Network Access,DNS packet allowed,"172.30.2.8,53,X0,complab-spare.complab.eng","172.30.51.1,1353,X0",Port: 1353,
2,5,UTC 11/01/2014 07:38:01.320,Info,Network Access,ICMP packet from LAN allowed,"172.30.51.1,3,X0","172.30.2.5,3,X0,complab-ad.complab.eng","ICMP Destination Unreachable,Code: 3",
2,6,UTC 11/01/2014 07:38:02.592,Notice,Network Access,Web management request allowed,"216.255.240.34,54255,X1","173.240.220.68,80,X1",TCP HTTP,
2,7,UTC 11/01/2014 07:38:26.272,Notice,Network Access,UDP packet dropped,"77.121.252.164,35077,X1","173.240.220.68,31585,X1",Port: 31585,
2,8,UTC 11/01/2014 07:38:26.288,Info,Network Access,DNS packet allowed,"172.30.2.6,53,X0,complab-bdc.complab.eng","172.30.51.1,1360,X0",Port: 1360,
2,9,UTC 11/01/2014 07:38:39.896,Notice,Network Access,UDP packet from LAN dropped,"172.30.50.6,68,X0","255.255.255.255,67",UDP Port: 67,
2,10,UTC 11/01/2014 07:39:02.592,Notice,Network Access,Web management request allowed,"216.255.240.34,54279,X1","173.240.220.68,80,X1",TCP HTTP,
2,11,UTC 11/01/2014 07:39:31.064,Notice,Network Access,UDP packet dropped,"95.191.214.2,28397,X1","173.240.220.68,25091,X1",Port: 25091,
