"#"  ," ","Time"                       ,"Priority","Category"                ,"Message"                                   ,"Source"                                                     ,"Destination"                                 ,"Notes"                                                            ,"Rule"
"61" ,"" ,"UTC 11/01/2014 07:23:12.416","Info"    ,"Network Access"          ,"ICMP packet from LAN allowed"              ,"172.30.51.1, 3, X0"                                         ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                            ,""
"62" ,"" ,"UTC 11/01/2014 07:23:14.496","Notice"  ,"Network Access"          ,"UDP packet from LAN dropped"               ,"172.30.50.6, 68, X0"                                        ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                  ,""
"63" ,"" ,"UTC 11/01/2014 07:23:19.096","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.8, 53, X0, complab-spare.complab.eng"              ,"172.30.51.1, 1209, X0"                       ,"Port:  1209"                                                      ,""
"64" ,"" ,"UTC 11/01/2014 07:23:35.768","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"213.167.193.234, 16135, X1"                                 ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                      ,""
"65" ,"" ,"UTC 11/01/2014 07:23:36.496","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"180.188.253.18, 56363, X1, pacenet.253.188.180.IN-ADDR.ARPA","173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"66" ,"" ,"UTC 11/01/2014 07:23:39.928","Info"    ,"Network Access"          ,"ICMP packet from LAN allowed"              ,"172.30.51.1, 3, X0"                                         ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                            ,""
"67" ,"" ,"UTC 11/01/2014 07:24:27.736","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                 ,"172.30.51.1, 1223, X0"                       ,"Port:  1223"                                                      ,""
"68" ,"" ,"UTC 11/01/2014 07:24:31.944","Info"    ,"Network Access"          ,"ICMP packet from LAN allowed"              ,"172.30.51.1, 3, X0"                                         ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                            ,""
"69" ,"" ,"UTC 11/01/2014 07:24:35.688","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"93.178.65.236, 56635, X1"                                   ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                                                      ,""
"70" ,"" ,"UTC 11/01/2014 07:24:39.240","Notice"  ,"Network Access"          ,"TCP connection dropped"                    ,"88.159.97.132, 48934, X1"                                   ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                      ,""
"71" ,"" ,"UTC 11/01/2014 07:24:47.480","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"216.255.240.34, 54024, X1"                                  ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"72" ,"" ,"UTC 11/01/2014 07:25:26.608","Notice"  ,"Network Access"          ,"UDP packet from LAN dropped"               ,"172.30.50.6, 68, X0"                                        ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                  ,""
"73" ,"" ,"UTC 11/01/2014 07:25:35.624","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                ,"172.30.51.1, 1234, X0"                       ,"Port:  1234"                                                      ,""
"74" ,"" ,"UTC 11/01/2014 07:25:40.880","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"108.21.51.152, 11785, X1"                                   ,"173.240.220.68, 52741, X1"                   ,"Port: 52741"                                                      ,""
"75" ,"" ,"UTC 11/01/2014 07:25:44.352","Info"    ,"Network Access"          ,"ICMP packet from LAN allowed"              ,"172.30.51.1, 3, X0"                                         ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                            ,""
"76" ,"" ,"UTC 11/01/2014 07:25:54.096","Notice"  ,"Network Access"          ,"Web management request allowed"            ,"180.188.253.18, 56507, X1, pacenet.253.188.180.IN-ADDR.ARPA","173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                         ,""
"77" ,"" ,"UTC 11/01/2014 07:26:29.208","Notice"  ,"Network Access"          ,"UDP packet from LAN dropped"               ,"172.30.50.6, 68, X0"                                        ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                  ,""
"78" ,"" ,"UTC 11/01/2014 07:26:36.608","Info"    ,"Network Access"          ,"DNS packet allowed"                        ,"172.30.2.8, 53, X0, complab-spare.complab.eng"              ,"172.30.51.1, 1248, X0"                       ,"Port:  1248"                                                      ,""
"79" ,"" ,"UTC 11/01/2014 07:26:49.288","Notice"  ,"Network Access"          ,"UDP packet dropped"                        ,"173.240.220.50, 35928, X1"                                  ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                   ,""
