"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                                            ,"Destination"                                 ,"Notes"                                ,"Rule"
"48" ,"" ,"UTC 11/01/2014 11:11:25.608","Notice"  ,"Network Access","UDP packet dropped"            ,"178.49.195.105, 13874, X1, l49-195-105.cn.ru"                                      ,"173.240.220.68, 37283, X1"                   ,"Port: 37283"                          ,""
"49" ,"" ,"UTC 11/01/2014 11:11:49.288","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58012, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"50" ,"" ,"UTC 11/01/2014 11:11:50.560","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                     ,"172.30.51.1, 2460, X0"                       ,"Port:  2460"                          ,""
"51" ,"" ,"UTC 11/01/2014 11:12:36.800","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                               ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"52" ,"" ,"UTC 11/01/2014 11:12:39.304","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 52382, X1"                                                         ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"53" ,"" ,"UTC 11/01/2014 11:12:49.288","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58033, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"54" ,"" ,"UTC 11/01/2014 11:12:50.304","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                       ,"172.30.51.1, 2464, X0"                       ,"Port:  2464"                          ,""
"55" ,"" ,"UTC 11/01/2014 11:13:24.400","Notice"  ,"Network Access","TCP connection dropped"        ,"91.236.75.11, 54952, X1"                                                           ,"173.240.220.68, 21320, X1"                   ,"Port: 21320"                          ,""
"56" ,"" ,"UTC 11/01/2014 11:13:48.384","Notice"  ,"Network Access","Web management request allowed","204.212.170.10, 25704, X1, snwlhosted.com"                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"57" ,"" ,"UTC 11/01/2014 11:13:50.384","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                       ,"172.30.51.1, 2467, X0"                       ,"Port:  2467"                          ,""
"58" ,"" ,"UTC 11/01/2014 11:14:19.096","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                               ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"59" ,"" ,"UTC 11/01/2014 11:14:48.816","Notice"  ,"Network Access","UDP packet dropped"            ,"78.37.47.139, 58034, X1, ip78-37-47-139.onego.ru"                                  ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"60" ,"" ,"UTC 11/01/2014 11:14:49.304","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58065, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"61" ,"" ,"UTC 11/01/2014 11:14:50.416","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                     ,"172.30.51.1, 2469, X0"                       ,"Port:  2469"                          ,""
"62" ,"" ,"UTC 11/01/2014 11:15:49.320","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58082, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"63" ,"" ,"UTC 11/01/2014 11:15:50.160","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                        ,"172.30.51.1, 2474, X0"                       ,"Port:  2474"                          ,""
"64" ,"" ,"UTC 11/01/2014 11:16:04.160","Notice"  ,"Network Access","UDP packet dropped"            ,"174.112.224.96, 60198, X1, cpebc14012d31f3-cmbc14012d31f0.cpe.net.cable.rogers.com","173.240.220.68, 31585, X1"                   ,"Port: 31585"                          ,""
"65" ,"" ,"UTC 11/01/2014 11:16:22.336","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                                ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"66" ,"" ,"UTC 11/01/2014 11:16:49.320","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58095, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"67" ,"" ,"UTC 11/01/2014 11:16:50.544","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                       ,"172.30.51.1, 2479, X0"                       ,"Port:  2479"                          ,""
"68" ,"" ,"UTC 11/01/2014 11:17:14.656","Notice"  ,"Network Access","UDP packet dropped"            ,"81.163.152.133, 57164, X1"                                                         ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                          ,""
"69" ,"" ,"UTC 11/01/2014 11:17:30.256","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                                ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3",""
"70" ,"" ,"UTC 11/01/2014 11:17:41.944","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                               ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"71" ,"" ,"UTC 11/01/2014 11:17:49.336","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58111, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"72" ,"" ,"UTC 11/01/2014 11:17:50.272","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                        ,"172.30.51.1, 2486, X0"                       ,"Port:  2486"                          ,""
"73" ,"" ,"UTC 11/01/2014 11:17:53.784","Notice"  ,"Network Access","TCP connection dropped"        ,"194.187.48.247, 32701, X1"                                                         ,"173.240.220.68, 5631, X1"                    ,"PC Anywhere TCP"                      ,""
"74" ,"" ,"UTC 11/01/2014 11:18:24.288","Notice"  ,"Network Access","UDP packet dropped"            ,"81.163.152.133, 57164, X1"                                                         ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                          ,""
"75" ,"" ,"UTC 11/01/2014 11:18:49.336","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58127, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"76" ,"" ,"UTC 11/01/2014 11:18:50.720","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                     ,"172.30.51.1, 2490, X0"                       ,"Port:  2490"                          ,""
"77" ,"" ,"UTC 11/01/2014 11:19:35.080","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 50499, X1"                                                         ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"78" ,"" ,"UTC 11/01/2014 11:19:49.352","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58145, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"79" ,"" ,"UTC 11/01/2014 11:19:50.256","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                               ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"80" ,"" ,"UTC 11/01/2014 11:20:04.352","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58147, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"81" ,"" ,"UTC 11/01/2014 11:20:04.640","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                     ,"172.30.51.1, 2496, X0"                       ,"Port:  2496"                          ,""
"82" ,"" ,"UTC 11/01/2014 11:20:17.864","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                       ,"172.30.51.1, 2497, X0"                       ,"Port:  2497"                          ,""
"83" ,"" ,"UTC 11/01/2014 11:20:49.352","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58158, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"84" ,"" ,"UTC 11/01/2014 11:20:51.144","Notice"  ,"Network Access","UDP packet dropped"            ,"75.67.22.141, 17659, X1, c-75-67-22-141.hsd1.ma.comcast.net"                       ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                          ,""
"85" ,"" ,"UTC 11/01/2014 11:20:54.816","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                               ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"86" ,"" ,"UTC 11/01/2014 11:21:17.864","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                     ,"172.30.51.1, 2502, X0"                       ,"Port:  2502"                          ,""
"87" ,"" ,"UTC 11/01/2014 11:21:33.416","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                                ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3",""
"88" ,"" ,"UTC 11/01/2014 11:21:47.848","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58178, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"89" ,"" ,"UTC 11/01/2014 11:22:17.944","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                       ,"172.30.51.1, 2506, X0"                       ,"Port:  2506"                          ,""
"90" ,"" ,"UTC 11/01/2014 11:22:21.784","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 53703, X1"                                                         ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"91" ,"" ,"UTC 11/01/2014 11:22:39.096","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                               ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"92" ,"" ,"UTC 11/01/2014 11:22:47.848","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58193, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"93" ,"" ,"UTC 11/01/2014 11:22:59.304","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                                ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"94" ,"" ,"UTC 11/01/2014 11:23:22.432","Info"    ,"Network Access","DNS packet allowed"            ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                                           ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                          ,""
"95" ,"" ,"UTC 11/01/2014 11:23:47.848","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58209, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"96" ,"" ,"UTC 11/01/2014 11:23:59.816","Notice"  ,"Network Access","UDP packet dropped"            ,"78.92.139.248, 13883, X1, 4e5c8bf8.catv.pool.telekom.hu"                           ,"173.240.220.68, 56122, X1"                   ,"Port: 56122"                          ,""
"97" ,"" ,"UTC 11/01/2014 11:24:21.352","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                               ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"98" ,"" ,"UTC 11/01/2014 11:24:47.848","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58232, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"99" ,"" ,"UTC 11/01/2014 11:24:50.384","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                        ,"172.30.51.1, 2516, X0"                       ,"Port:  2516"                          ,""
"100","" ,"UTC 11/01/2014 11:25:34.448","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 60037, X1"                                                         ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"101","" ,"UTC 11/01/2014 11:25:38.416","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                                ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"102","" ,"UTC 11/01/2014 11:25:47.848","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 58246, X1"                                                         ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"103","" ,"UTC 11/01/2014 11:25:50.752","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                       ,"172.30.51.1, 2521, X0"                       ,"Port:  2521"                          ,""
"104","" ,"UTC 11/01/2014 11:26:07.848","Notice"  ,"Network Access","TCP connection dropped"        ,"186.0.202.188, 21636, X1"                                                          ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
