"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                              ,"Destination"                                 ,"Notes"                                                                                                                   ,"Rule"
"36" ,"" ,"UTC 11/01/2014 07:44:47.656","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 1411, X0"                       ,"Port:  1411"                                                                                                             ,""
"37" ,"" ,"UTC 11/01/2014 07:44:49.368","Notice"  ,"Firewall Event","System time updated based on response from NTP server",""                                                                    ,""                                            ,"Received reply from NTP server 74.207.242.71. Update system time from 11/01/2014 00:44:49.240 to 11/01/2014 00:44:49.368",""
"38" ,"" ,"UTC 11/01/2014 07:45:02.640","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54396, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"39" ,"" ,"UTC 11/01/2014 07:45:47.656","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 1416, X0"                       ,"Port:  1416"                                                                                                             ,""
"40" ,"" ,"UTC 11/01/2014 07:45:49.720","Notice"  ,"Network Access","UDP packet dropped"                                   ,"72.200.197.131, 25521, X1"                                           ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                             ,""
"41" ,"" ,"UTC 11/01/2014 07:46:00.096","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"42" ,"" ,"UTC 11/01/2014 07:46:02.640","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54414, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"43" ,"" ,"UTC 11/01/2014 07:46:06.432","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"44" ,"" ,"UTC 11/01/2014 07:46:41.544","Notice"  ,"Network Access","TCP connection dropped"                               ,"95.245.6.152, 51918, X1"                                             ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                             ,""
"45" ,"" ,"UTC 11/01/2014 07:46:47.672","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 1422, X0"                       ,"Port:  1422"                                                                                                             ,""
"46" ,"" ,"UTC 11/01/2014 07:46:52.576","Notice"  ,"Network Access","UDP packet dropped"                                   ,"99.231.105.224, 55931, X1"                                           ,"173.240.220.68, 47681, X1"                   ,"Port: 47681"                                                                                                             ,""
"47" ,"" ,"UTC 11/01/2014 07:47:02.656","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54434, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"48" ,"" ,"UTC 11/01/2014 07:47:04.816","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"49" ,"" ,"UTC 11/01/2014 07:47:47.672","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 1432, X0"                       ,"Port:  1432"                                                                                                             ,""
"50" ,"" ,"UTC 11/01/2014 07:48:02.656","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54449, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"51" ,"" ,"UTC 11/01/2014 07:48:05.048","Notice"  ,"Network Access","UDP packet dropped"                                   ,"94.51.190.45, 35333, X1"                                             ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                             ,""
"52" ,"" ,"UTC 11/01/2014 07:48:05.672","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                                                                                   ,""
"53" ,"" ,"UTC 11/01/2014 07:48:07.112","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"54" ,"" ,"UTC 11/01/2014 07:48:10.496","Notice"  ,"Network Access","TCP connection dropped"                               ,"113.195.145.81, 6000, X1"                                            ,"173.240.220.68, 8022, X1"                    ,"Port:  8022"                                                                                                             ,""
"55" ,"" ,"UTC 11/01/2014 07:48:19.160","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 1434, X0"                       ,"Port:  1434"                                                                                                             ,""
"56" ,"" ,"UTC 11/01/2014 07:48:47.688","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 1439, X0"                       ,"Port:  1439"                                                                                                             ,""
"57" ,"" ,"UTC 11/01/2014 07:49:02.672","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54469, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"58" ,"" ,"UTC 11/01/2014 07:49:27.720","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 54476, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                ,""
"59" ,"" ,"UTC 11/01/2014 07:49:28.080","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                         ,""
"60" ,"" ,"UTC 11/01/2014 07:49:45.704","Notice"  ,"Network Access","UDP packet dropped"                                   ,"74.111.216.111, 50578, X1"                                           ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                             ,""
"61" ,"" ,"UTC 11/01/2014 07:49:47.688","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 1443, X0"                       ,"Port:  1443"                                                                                                             ,""
"62" ,"" ,"UTC 11/01/2014 07:49:50.032","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                   ,""
