"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                              ,"Destination"                                 ,"Notes"                                ,"Rule"
"59" ,"" ,"UTC 11/01/2014 13:01:45.304","Notice"  ,"Network Access","UDP packet dropped"            ,"79.54.27.110, 40959, X1"                                             ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"60" ,"" ,"UTC 11/01/2014 13:01:45.640","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3",""
"61" ,"" ,"UTC 11/01/2014 13:01:50.176","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                          ,"172.30.51.1, 2884, X0"                       ,"Port:  2884"                          ,""
"62" ,"" ,"UTC 11/01/2014 13:02:09.080","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"63" ,"" ,"UTC 11/01/2014 13:02:27.896","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 59950, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"64" ,"" ,"UTC 11/01/2014 13:02:32.880","Notice"  ,"Network Access","TCP connection dropped"        ,"104.131.170.238, 38125, X1"                                          ,"173.240.220.68, 22, X1"                      ,"SSH"                                  ,""
"65" ,"" ,"UTC 11/01/2014 13:02:48.928","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 33206, X1"                                           ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"66" ,"" ,"UTC 11/01/2014 13:02:50.176","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 2889, X0"                       ,"Port:  2889"                          ,""
"67" ,"" ,"UTC 11/01/2014 13:03:27.896","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 59965, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"68" ,"" ,"UTC 11/01/2014 13:03:28.256","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"69" ,"" ,"UTC 11/01/2014 13:03:50.192","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 2891, X0"                       ,"Port:  2891"                          ,""
"70" ,"" ,"UTC 11/01/2014 13:03:57.688","Notice"  ,"Network Access","UDP packet dropped"            ,"89.212.50.141, 36534, X1"                                            ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                          ,""
"71" ,"" ,"UTC 11/01/2014 13:03:58.064","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3",""
"72" ,"" ,"UTC 11/01/2014 13:04:27.896","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 43656, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"73" ,"" ,"UTC 11/01/2014 13:04:44.368","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"74" ,"" ,"UTC 11/01/2014 13:04:50.192","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 2894, X0"                       ,"Port:  2894"                          ,""
"75" ,"" ,"UTC 11/01/2014 13:04:58.688","Notice"  ,"Network Access","UDP packet dropped"            ,"5.228.68.231, 10433, X1"                                             ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                          ,""
