"#"  ," ","Time"                       ,"Priority","Category"        ,"Message"                                              ,"Source"                                                                ,"Destination"                                 ,"Notes"                                                                                                               ,"Rule"
"38" ,"" ,"UTC 11/01/2014 10:33:34.016","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57364, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"39" ,"" ,"UTC 11/01/2014 10:33:34.144","Notice"  ,"Network Access"  ,"UDP packet dropped"                                   ,"86.19.206.188, 63061, X1, cpc6-ches4-2-0-cust187.9-1.cable.virginm.net","173.240.220.68, 50461, X1"                   ,"Port: 50461"                                                                                                         ,""
"40" ,"" ,"UTC 11/01/2014 10:34:10.016","Notice"  ,"Network Access"  ,"UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                   ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                     ,""
"41" ,"" ,"UTC 11/01/2014 10:34:17.848","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                            ,"172.30.51.1, 2312, X0"                       ,"Port:  2312"                                                                                                         ,""
"42" ,"" ,"UTC 11/01/2014 10:34:34.016","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57381, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"43" ,"" ,"UTC 11/01/2014 10:34:47.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57384, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"44" ,"" ,"UTC 11/01/2014 10:34:55.064","Notice"  ,"Network Access"  ,"TCP connection dropped"                               ,"218.77.79.43, 46538, X1"                                               ,"173.240.220.68, 25, X1"                      ,"SMTP (Send E-Mail)"                                                                                                  ,""
"45" ,"" ,"UTC 11/01/2014 10:34:55.080","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                           ,"172.30.51.1, 2315, X0"                       ,"Port:  2315"                                                                                                         ,""
"46" ,"" ,"UTC 11/01/2014 10:35:03.592","Info"    ,"Network Access"  ,"ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                    ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                                                                               ,""
"47" ,"" ,"UTC 11/01/2014 10:35:17.848","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                            ,"172.30.51.1, 2317, X0"                       ,"Port:  2317"                                                                                                         ,""
"48" ,"" ,"UTC 11/01/2014 10:35:24.704","Notice"  ,"Network Access"  ,"UDP packet dropped"                                   ,"86.19.206.188, 63061, X1, cpc6-ches4-2-0-cust187.9-1.cable.virginm.net","173.240.220.68, 50461, X1"                   ,"Port: 50461"                                                                                                         ,""
"49" ,"" ,"UTC 11/01/2014 10:35:34.032","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57395, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"50" ,"" ,"UTC 11/01/2014 10:36:17.848","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                         ,"172.30.51.1, 2321, X0"                       ,"Port:  2321"                                                                                                         ,""
"51" ,"" ,"UTC 11/01/2014 10:36:29.720","Notice"  ,"Network Access"  ,"UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                   ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                     ,""
"52" ,"" ,"UTC 11/01/2014 10:36:37.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57413, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"53" ,"" ,"UTC 11/01/2014 10:37:20.032","Notice"  ,"Network Access"  ,"UDP packet dropped"                                   ,"173.240.220.50, 35248, X1"                                             ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                      ,""
"54" ,"" ,"UTC 11/01/2014 10:37:20.112","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                         ,"172.30.51.1, 2324, X0"                       ,"Port:  2324"                                                                                                         ,""
"55" ,"" ,"UTC 11/01/2014 10:37:37.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57433, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"56" ,"" ,"UTC 11/01/2014 10:38:22.464","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                               ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                                                                                                         ,""
"57" ,"" ,"UTC 11/01/2014 10:38:37.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57451, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"58" ,"" ,"UTC 11/01/2014 10:38:46.576","Notice"  ,"Network Access"  ,"UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                   ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                     ,""
"59" ,"" ,"UTC 11/01/2014 10:39:23.032","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"4.2.2.4, 53, X1, d.resolvers.level3.net"                               ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                                                                                                         ,""
"60" ,"" ,"UTC 11/01/2014 10:39:29.608","Notice"  ,"Network Access"  ,"UDP packet dropped"                                   ,"95.54.120.83, 10093, X1"                                               ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                         ,""
"61" ,"" ,"UTC 11/01/2014 10:39:30.304","Info"    ,"Network Access"  ,"ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                    ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                                                                               ,""
"62" ,"" ,"UTC 11/01/2014 10:39:37.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57473, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"63" ,"" ,"UTC 11/01/2014 10:40:34.080","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                         ,"172.30.51.1, 2336, X0"                       ,"Port:  2336"                                                                                                         ,""
"64" ,"" ,"UTC 11/01/2014 10:40:37.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57490, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"65" ,"" ,"UTC 11/01/2014 10:40:39.112","Notice"  ,"Network Access"  ,"UDP packet dropped"                                   ,"174.96.222.24, 21232, X1, cpe-174-096-222-024.carolina.res.rr.com"     ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                         ,""
"66" ,"" ,"UTC 11/01/2014 10:40:54.848","Notice"  ,"Network Access"  ,"UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                   ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                     ,""
"67" ,"" ,"UTC 11/01/2014 10:41:01.672","Notice"  ,"Network Access"  ,"TCP connection dropped"                               ,"103.227.97.220, 11548, X1"                                             ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                         ,""
"68" ,"" ,"UTC 11/01/2014 10:41:34.096","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                         ,"172.30.51.1, 2342, X0"                       ,"Port:  2342"                                                                                                         ,""
"69" ,"" ,"UTC 11/01/2014 10:41:37.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57508, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"70" ,"" ,"UTC 11/01/2014 10:42:30.032","Notice"  ,"Network Access"  ,"UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                   ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                     ,""
"71" ,"" ,"UTC 11/01/2014 10:42:37.096","Notice"  ,"Network Access"  ,"UDP packet dropped"                                   ,"184.105.139.109, 50951, X1, scan-03i.shadowserver.org"                 ,"173.240.220.68, 1900, X1"                    ,"Port:  1900"                                                                                                         ,""
"72" ,"" ,"UTC 11/01/2014 10:42:37.112","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                           ,"172.30.51.1, 2346, X0"                       ,"Port:  2346"                                                                                                         ,""
"73" ,"" ,"UTC 11/01/2014 10:42:37.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57525, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"74" ,"" ,"UTC 11/01/2014 10:42:48.688","Notice"  ,"Network Access"  ,"TCP connection dropped"                               ,"103.227.97.220, 11966, X1"                                             ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                         ,""
"75" ,"" ,"UTC 11/01/2014 10:43:37.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"204.212.170.10, 39628, X1, snwlhosted.com"                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"76" ,"" ,"UTC 11/01/2014 10:44:12.272","Notice"  ,"Network Access"  ,"UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                   ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                     ,""
"77" ,"" ,"UTC 11/01/2014 10:44:15.656","Notice"  ,"Network Access"  ,"UDP packet dropped"                                   ,"173.240.220.50, 50709, X1"                                             ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                      ,""
"78" ,"" ,"UTC 11/01/2014 10:44:15.672","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                           ,"172.30.51.1, 2352, X0"                       ,"Port:  2352"                                                                                                         ,""
"79" ,"" ,"UTC 11/01/2014 10:44:37.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57556, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"80" ,"" ,"UTC 11/01/2014 10:45:17.848","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                            ,"172.30.51.1, 2356, X0"                       ,"Port:  2356"                                                                                                         ,""
"81" ,"" ,"UTC 11/01/2014 10:45:37.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57572, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"82" ,"" ,"UTC 11/01/2014 10:45:41.800","Notice"  ,"Firewall Event"  ,"System time updated based on response from NTP server",""                                                                      ,""                                            ,"Received reply from NTP server 50.7.68.4. Update system time from 11/01/2014 03:45:41.560 to 11/01/2014 03:45:41.800",""
"83" ,"" ,"UTC 11/01/2014 10:46:17.832","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                         ,"172.30.51.1, 2361, X0"                       ,"Port:  2361"                                                                                                         ,""
"84" ,"" ,"UTC 11/01/2014 10:46:29.848","Notice"  ,"Network Access"  ,"UDP packet dropped"                                   ,"87.88.10.117, 51320, X1, per92-h05-87-88-10-117.dsl.sta.abo.bbox.fr"   ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                         ,""
"85" ,"" ,"UTC 11/01/2014 10:46:32.016","Notice"  ,"Network Access"  ,"UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                   ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                     ,""
"86" ,"" ,"UTC 11/01/2014 10:46:47.816","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57587, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"87" ,"" ,"UTC 11/01/2014 10:47:17.944","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                           ,"172.30.51.1, 2365, X0"                       ,"Port:  2365"                                                                                                         ,""
"88" ,"" ,"UTC 11/01/2014 10:47:43.464","Notice"  ,"Network Access"  ,"UDP packet dropped"                                   ,"173.240.220.50, 55239, X1"                                             ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                      ,""
"89" ,"" ,"UTC 11/01/2014 10:47:47.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57602, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"90" ,"" ,"UTC 11/01/2014 10:48:34.128","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                           ,"172.30.51.1, 2371, X0"                       ,"Port:  2371"                                                                                                         ,""
"91" ,"" ,"UTC 11/01/2014 10:48:47.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57621, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"92" ,"" ,"UTC 11/01/2014 10:49:15.864","Info"    ,"Network Access"  ,"ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                    ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                                                                               ,""
"93" ,"" ,"UTC 11/01/2014 10:49:31.240","Notice"  ,"Network Access"  ,"UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                   ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                     ,""
"94" ,"" ,"UTC 11/01/2014 10:49:31.880","Notice"  ,"Network Access"  ,"UDP packet dropped"                                   ,"177.98.84.156, 27842, X1"                                              ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                         ,""
"95" ,"" ,"UTC 11/01/2014 10:49:34.144","Info"    ,"Network Access"  ,"DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                         ,"172.30.51.1, 2376, X0"                       ,"Port:  2376"                                                                                                         ,""
"96" ,"" ,"UTC 11/01/2014 10:49:47.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57636, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
"97" ,"" ,"UTC 11/01/2014 10:49:57.832","Notice"  ,"Network Access"  ,"Web management request allowed"                       ,"216.255.240.34, 57639, X1"                                             ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                            ,""
