"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                                       ,"Destination"                                 ,"Notes"                                                                                                                    ,"Rule"
"41" ,"" ,"UTC 11/01/2014 09:23:31.624","Notice"  ,"Network Access","TCP connection dropped"                               ,"5.199.223.237, 52835, X1, 5-199-223-237.k-telecom.org"                        ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                              ,""
"42" ,"" ,"UTC 11/01/2014 09:23:31.624","Notice"  ,"Network Access","UDP packet dropped"                                   ,"5.199.223.237, 43317, X1, 5-199-223-237.k-telecom.org"                        ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                              ,""
"43" ,"" ,"UTC 11/01/2014 09:24:03.448","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56158, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"44" ,"" ,"UTC 11/01/2014 09:24:27.800","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                   ,"172.30.51.1, 1957, X0"                       ,"Port:  1957"                                                                                                              ,""
"45" ,"" ,"UTC 11/01/2014 09:24:35.512","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 45390, X1"                                                    ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
"46" ,"" ,"UTC 11/01/2014 09:24:39.064","Notice"  ,"Network Access","TCP connection dropped"                               ,"201.29.104.36, 50525, X1, 201-29-104-36.user.veloxzone.com.br"                ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                              ,""
"47" ,"" ,"UTC 11/01/2014 09:25:03.448","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56180, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"48" ,"" ,"UTC 11/01/2014 09:25:13.784","Notice"  ,"Network Access","TCP connection dropped"                               ,"195.211.78.251, 57444, X1, 195.211.78.251.lantek.ru"                          ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                              ,""
"49" ,"" ,"UTC 11/01/2014 09:25:27.800","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 1962, X0"                       ,"Port:  1962"                                                                                                              ,""
"50" ,"" ,"UTC 11/01/2014 09:26:03.464","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56202, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"51" ,"" ,"UTC 11/01/2014 09:26:10.288","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                           ,"172.30.2.6, 3, X0, complab-bdc.complab.eng"  ,"ICMP Destination Unreachable, Code: 3"                                                                                    ,""
"52" ,"" ,"UTC 11/01/2014 09:26:13.912","Notice"  ,"Network Access","UDP packet dropped"                                   ,"182.173.193.233, 62411, X1, 182-173-193-233.d.c400.guam.net"                  ,"173.240.220.68, 25091, X1"                   ,"Port: 25091"                                                                                                              ,""
"53" ,"" ,"UTC 11/01/2014 09:26:22.432","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"54" ,"" ,"UTC 11/01/2014 09:26:39.048","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 1967, X0"                       ,"Port:  1967"                                                                                                              ,""
"55" ,"" ,"UTC 11/01/2014 09:27:03.464","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56218, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"56" ,"" ,"UTC 11/01/2014 09:27:32.096","Notice"  ,"Network Access","TCP connection dropped"                               ,"222.186.15.236, 6000, X1"                                                     ,"173.240.220.68, 8009, X1"                    ,"Port:  8009"                                                                                                              ,""
"57" ,"" ,"UTC 11/01/2014 09:27:50.144","Info"    ,"Network Access","DNS packet allowed"                                   ,"8.8.8.8, 53, X1, google-public-dns-a.google.com"                              ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                                                                                                              ,""
"58" ,"" ,"UTC 11/01/2014 09:28:00.032","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 35013, X1"                                                    ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
"59" ,"" ,"UTC 11/01/2014 09:28:03.480","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56234, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"60" ,"" ,"UTC 11/01/2014 09:29:03.480","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56255, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"61" ,"" ,"UTC 11/01/2014 09:29:05.208","Info"    ,"Network Access","DNS packet allowed"                                   ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                                      ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                                                                                                              ,""
"62" ,"" ,"UTC 11/01/2014 09:29:10.576","Notice"  ,"Network Access","UDP packet dropped"                                   ,"95.44.46.138, 41150, X1"                                                      ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                              ,""
"63" ,"" ,"UTC 11/01/2014 09:30:03.496","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56277, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"64" ,"" ,"UTC 11/01/2014 09:30:07.816","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 1979, X0"                       ,"Port:  1979"                                                                                                              ,""
"65" ,"" ,"UTC 11/01/2014 09:30:31.160","Notice"  ,"Network Access","UDP packet dropped"                                   ,"95.235.36.84, 19313, X1, host84-36-dynamic.235-95-r.retail.telecomitalia.it"  ,"173.240.220.68, 31585, X1"                   ,"Port: 31585"                                                                                                              ,""
"66" ,"" ,"UTC 11/01/2014 09:30:52.432","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                           ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3"                                                                                    ,""
"67" ,"" ,"UTC 11/01/2014 09:31:00.688","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"68" ,"" ,"UTC 11/01/2014 09:31:03.496","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56291, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"69" ,"" ,"UTC 11/01/2014 09:31:07.880","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                   ,"172.30.51.1, 1984, X0"                       ,"Port:  1984"                                                                                                              ,""
"70" ,"" ,"UTC 11/01/2014 09:31:31.192","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 52026, X1"                                                    ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
"71" ,"" ,"UTC 11/01/2014 09:32:03.512","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56306, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"72" ,"" ,"UTC 11/01/2014 09:32:23.496","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                   ,"172.30.51.1, 1990, X0"                       ,"Port:  1990"                                                                                                              ,""
"73" ,"" ,"UTC 11/01/2014 09:33:03.512","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56322, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"74" ,"" ,"UTC 11/01/2014 09:33:09.880","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"75" ,"" ,"UTC 11/01/2014 09:33:27.816","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                   ,"172.30.51.1, 1993, X0"                       ,"Port:  1993"                                                                                                              ,""
"76" ,"" ,"UTC 11/01/2014 09:34:03.528","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56337, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"77" ,"" ,"UTC 11/01/2014 09:34:06.208","Info"    ,"Network Access","DNS packet allowed"                                   ,"4.2.2.3, 53, X1, c.resolvers.level3.net"                                      ,"173.240.220.68, 1024, X1"                    ,"Port:  1024"                                                                                                              ,""
"78" ,"" ,"UTC 11/01/2014 09:34:17.032","Notice"  ,"Network Access","UDP packet dropped"                                   ,"213.136.94.63, 5061, X1, ip-63-94-136-213.static.contabo.net"                 ,"173.240.220.68, 5060, X1"                    ,"SIP"                                                                                                                      ,""
"79" ,"" ,"UTC 11/01/2014 09:34:27.128","Notice"  ,"Network Access","Web management request allowed"                       ,"204.212.170.10, 31189, X1, snwlhosted.com"                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"80" ,"" ,"UTC 11/01/2014 09:34:27.816","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 1997, X0"                       ,"Port:  1997"                                                                                                              ,""
"81" ,"" ,"UTC 11/01/2014 09:34:39.384","Notice"  ,"Network Access","TCP connection dropped"                               ,"39.50.176.5, 53677, X1"                                                       ,"173.240.220.68, 20475, X1"                   ,"Port: 20475"                                                                                                              ,""
"82" ,"" ,"UTC 11/01/2014 09:35:03.528","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56352, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"83" ,"" ,"UTC 11/01/2014 09:35:27.816","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                   ,"172.30.51.1, 2002, X0"                       ,"Port:  2002"                                                                                                              ,""
"84" ,"" ,"UTC 11/01/2014 09:35:40.176","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 49075, X1"                                                    ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
"85" ,"" ,"UTC 11/01/2014 09:35:59.496","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"86" ,"" ,"UTC 11/01/2014 09:36:03.528","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 56369, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"87" ,"" ,"UTC 11/01/2014 09:36:27.816","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                                  ,"172.30.51.1, 2004, X0"                       ,"Port:  2004"                                                                                                              ,""
"88" ,"" ,"UTC 11/01/2014 09:36:42.816","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                           ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                                                                                    ,""
