"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                              ,"Destination"                                 ,"Notes"                                                                                                                 ,"Rule"
"53" ,"" ,"UTC 11/01/2014 13:33:50.928","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"54" ,"" ,"UTC 11/01/2014 13:34:17.928","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 3015, X0"                       ,"Port:  3015"                                                                                                           ,""
"55" ,"" ,"UTC 11/01/2014 13:34:47.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44248, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"56" ,"" ,"UTC 11/01/2014 13:35:08.432","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"57" ,"" ,"UTC 11/01/2014 13:35:17.928","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                         ,"172.30.51.1, 3018, X0"                       ,"Port:  3018"                                                                                                           ,""
"58" ,"" ,"UTC 11/01/2014 13:35:27.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44259, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"59" ,"" ,"UTC 11/01/2014 13:35:47.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44263, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"60" ,"" ,"UTC 11/01/2014 13:36:18.048","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                       ,"172.30.51.1, 3020, X0"                       ,"Port:  3020"                                                                                                           ,""
"61" ,"" ,"UTC 11/01/2014 13:36:27.912","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                                 ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                       ,""
"62" ,"" ,"UTC 11/01/2014 13:36:42.240","Notice"  ,"Network Access","TCP connection dropped"                               ,"88.132.130.193, 29139, X1, host-88-132-130-193.prtelecom.hu"         ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"63" ,"" ,"UTC 11/01/2014 13:36:42.256","Notice"  ,"Network Access","UDP packet dropped"                                   ,"88.132.130.193, 44349, X1, host-88-132-130-193.prtelecom.hu"         ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                           ,""
"64" ,"" ,"UTC 11/01/2014 13:36:50.432","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 44279, X1"                                           ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                              ,""
"65" ,"" ,"UTC 11/01/2014 13:37:05.880","Info"    ,"Network Access","ICMP packet from LAN allowed"                         ,"172.30.51.1, 3, X0"                                                  ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3"                                                                                 ,""
