"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                                              ,"Source"                                                      ,"Destination"                                 ,"Notes"                                                                                                                    ,"Rule"
"85" ,"" ,"UTC 11/01/2014 12:32:49.928","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2769, X0"                       ,"Port:  2769"                                                                                                              ,""
"86" ,"" ,"UTC 11/01/2014 12:32:55.016","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"87" ,"" ,"UTC 11/01/2014 12:33:04.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59443, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"88" ,"" ,"UTC 11/01/2014 12:33:04.912","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59442, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"89" ,"" ,"UTC 11/01/2014 12:33:49.928","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                 ,"172.30.51.1, 2771, X0"                       ,"Port:  2771"                                                                                                              ,""
"90" ,"" ,"UTC 11/01/2014 12:34:04.928","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59456, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"91" ,"" ,"UTC 11/01/2014 12:34:08.464","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"92" ,"" ,"UTC 11/01/2014 12:34:49.944","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                 ,"172.30.51.1, 2774, X0"                       ,"Port:  2774"                                                                                                              ,""
"93" ,"" ,"UTC 11/01/2014 12:35:04.928","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59475, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"94" ,"" ,"UTC 11/01/2014 12:35:06.384","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 58931, X1"                                   ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
"95" ,"" ,"UTC 11/01/2014 12:35:17.912","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                 ,"172.30.51.1, 2777, X0"                       ,"Port:  2777"                                                                                                              ,""
"96" ,"" ,"UTC 11/01/2014 12:35:49.944","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                  ,"172.30.51.1, 2778, X0"                       ,"Port:  2778"                                                                                                              ,""
"97" ,"" ,"UTC 11/01/2014 12:36:04.944","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59490, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"98" ,"" ,"UTC 11/01/2014 12:36:50.000","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                 ,"172.30.51.1, 2780, X0"                       ,"Port:  2780"                                                                                                              ,""
"99" ,"" ,"UTC 11/01/2014 12:37:04.944","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59504, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"100","" ,"UTC 11/01/2014 12:38:05.000","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59522, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"101","" ,"UTC 11/01/2014 12:38:17.912","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                 ,"172.30.51.1, 2783, X0"                       ,"Port:  2783"                                                                                                              ,""
"102","" ,"UTC 11/01/2014 12:38:29.384","Notice"  ,"Network Access","UDP packet dropped"                                   ,"93.174.93.204, 7678, X1, dedicated.koddos.com"               ,"173.240.220.68, 53, X1"                      ,"DNS (Name Service) UDP"                                                                                                   ,""
"103","" ,"UTC 11/01/2014 12:38:34.224","Notice"  ,"Network Access","UDP packet dropped"                                   ,"173.240.220.50, 48906, X1"                                   ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                                                                                                           ,""
"104","" ,"UTC 11/01/2014 12:38:34.592","Notice"  ,"Network Access","UDP packet from LAN dropped"                          ,"172.30.50.6, 68, X0"                                         ,"255.255.255.255, 67"                         ,"UDP Port:    67"                                                                                                          ,""
"105","" ,"UTC 11/01/2014 12:38:51.096","Notice"  ,"Network Access","TCP connection dropped"                               ,"109.252.74.15, 7328, X1"                                     ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                                                                                                              ,""
"106","" ,"UTC 11/01/2014 12:39:05.000","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59540, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
"107","" ,"UTC 11/01/2014 12:39:17.912","Info"    ,"Network Access","DNS packet allowed"                                   ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                 ,"172.30.51.1, 2789, X0"                       ,"Port:  2789"                                                                                                              ,""
"108","" ,"UTC 11/01/2014 12:40:05.000","Notice"  ,"Network Access","Web management request allowed"                       ,"216.255.240.34, 59556, X1"                                   ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                                                                                                                 ,""
