"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                          ,"Destination"                                 ,"Notes"                                ,"Rule"
"79" ,"" ,"UTC 11/01/2014 08:25:42.480","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 35861, X1"                                       ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"80" ,"" ,"UTC 11/01/2014 08:26:07.768","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                   ,"172.30.51.1, 1723, X0"                       ,"Port:  1723"                          ,""
"81" ,"" ,"UTC 11/01/2014 08:26:27.752","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55177, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"82" ,"" ,"UTC 11/01/2014 08:26:55.416","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"83" ,"" ,"UTC 11/01/2014 08:27:27.752","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55193, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"84" ,"" ,"UTC 11/01/2014 08:27:27.768","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                   ,"172.30.51.1, 1726, X0"                       ,"Port:  1726"                          ,""
"85" ,"" ,"UTC 11/01/2014 08:27:32.064","Notice"  ,"Network Access","TCP connection dropped"        ,"93.174.93.218, 52466, X1, bu.nl.ionvm.com"                       ,"173.240.220.68, 21320, X1"                   ,"Port: 21320"                          ,""
"86" ,"" ,"UTC 11/01/2014 08:28:08.032","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                              ,"172.30.2.8, 3, X0, complab-spare.complab.eng","ICMP Destination Unreachable, Code: 3",""
"87" ,"" ,"UTC 11/01/2014 08:28:27.752","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55209, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"88" ,"" ,"UTC 11/01/2014 08:28:27.768","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.6, 53, X0, complab-bdc.complab.eng"                     ,"172.30.51.1, 1730, X0"                       ,"Port:  1730"                          ,""
"89" ,"" ,"UTC 11/01/2014 08:28:32.080","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"90" ,"" ,"UTC 11/01/2014 08:29:10.304","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 54520, X1"                                       ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"91" ,"" ,"UTC 11/01/2014 08:29:27.752","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55229, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"92" ,"" ,"UTC 11/01/2014 08:29:27.768","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                      ,"172.30.51.1, 1734, X0"                       ,"Port:  1734"                          ,""
"93" ,"" ,"UTC 11/01/2014 08:30:03.368","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"94" ,"" ,"UTC 11/01/2014 08:30:27.112","Notice"  ,"Network Access","TCP connection dropped"        ,"61.160.213.188, 6000, X1"                                        ,"173.240.220.68, 8088, X1"                    ,"Tivo TCP Data"                        ,""
"95" ,"" ,"UTC 11/01/2014 08:30:27.752","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 55246, X1"                                       ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"96" ,"" ,"UTC 11/01/2014 08:30:27.768","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                   ,"172.30.51.1, 1738, X0"                       ,"Port:  1738"                          ,""
"97" ,"" ,"UTC 11/01/2014 08:30:31.480","Info"    ,"Network Access","ICMP packet from LAN allowed"  ,"172.30.51.1, 3, X0"                                              ,"172.30.2.5, 3, X0, complab-ad.complab.eng"   ,"ICMP Destination Unreachable, Code: 3",""
"98" ,"" ,"UTC 11/01/2014 08:30:58.288","Notice"  ,"Network Access","UDP packet dropped"            ,"78.205.45.149, 48818, X1, sgc91-6-78-205-45-149.fbx.proxad.net"  ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"99" ,"" ,"UTC 11/01/2014 08:31:20.448","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                             ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
