"#"  ," ","Time"                       ,"Priority","Category"      ,"Message"                       ,"Source"                                                                       ,"Destination"                                 ,"Notes"                                ,"Rule"
"107","" ,"UTC 11/01/2014 10:13:27.832","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                   ,"172.30.51.1, 2165, X0"                       ,"Port:  2165"                          ,""
"108","" ,"UTC 11/01/2014 10:13:43.912","Notice"  ,"Network Access","TCP connection dropped"        ,"222.186.34.164, 6000, X1"                                                     ,"173.240.220.68, 5901, X1"                    ,"Port:  5901"                          ,""
"109","" ,"UTC 11/01/2014 10:14:05.448","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"110","" ,"UTC 11/01/2014 10:14:25.080","Notice"  ,"Network Access","UDP packet dropped"            ,"89.147.74.27, 60343, X1, ip59934a1b.rubicom.hu"                               ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"111","" ,"UTC 11/01/2014 10:14:27.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57050, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"112","" ,"UTC 11/01/2014 10:14:27.832","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 2169, X0"                       ,"Port:  2169"                          ,""
"113","" ,"UTC 11/01/2014 10:14:52.496","Notice"  ,"Network Access","TCP connection dropped"        ,"89.14.86.140, 59047, X1, x590e568c.dyn.telefonica.de"                         ,"173.240.220.68, 26965, X1"                   ,"Port: 26965"                          ,""
"114","" ,"UTC 11/01/2014 10:15:27.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57068, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"115","" ,"UTC 11/01/2014 10:15:27.832","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.8, 53, X0, complab-spare.complab.eng"                                ,"172.30.51.1, 2172, X0"                       ,"Port:  2172"                          ,""
"116","" ,"UTC 11/01/2014 10:15:46.160","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
"117","" ,"UTC 11/01/2014 10:16:27.816","Notice"  ,"Network Access","Web management request allowed","216.255.240.34, 57082, X1"                                                    ,"173.240.220.68, 80, X1"                      ,"TCP HTTP"                             ,""
"118","" ,"UTC 11/01/2014 10:16:27.832","Info"    ,"Network Access","DNS packet allowed"            ,"172.30.2.5, 53, X0, complab-ad.complab.eng"                                   ,"172.30.51.1, 2174, X0"                       ,"Port:  2174"                          ,""
"119","" ,"UTC 11/01/2014 10:16:33.048","Notice"  ,"Network Access","UDP packet dropped"            ,"173.240.220.50, 56116, X1"                                                    ,"173.240.220.255, 137"                        ,"NetBios NS UDP"                       ,""
"120","" ,"UTC 11/01/2014 10:17:02.272","Notice"  ,"Network Access","UDP packet from LAN dropped"   ,"172.30.50.6, 68, X0"                                                          ,"255.255.255.255, 67"                         ,"UDP Port:    67"                      ,""
