No.,Time,Source,Destination,Protocol,Length,Info,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude
11560,78.838464,24.6.173.220,66.150.149.23,TCP,54,"10932 > 80 [FIN, ACK] Seq=1025 Ack=2769 Win=65700 Len=0",37.4404,-121.8705,33.7516,-84.3915
11561,78.838607,24.6.173.220,64.94.107.18,TCP,54,"10934 > 80 [FIN, ACK] Seq=1 Ack=1 Win=65700 Len=0",37.4404,-121.8705,33.7516,-84.3915
11562,78.838796,24.6.173.220,69.16.175.10,TCP,54,"10938 > 80 [FIN, ACK] Seq=1 Ack=1 Win=65700 Len=0",37.4404,-121.8705,33.5083,-112.0717
11563,78.851321,208.91.172.36,24.6.173.220,TCP,60,"80 > 10962 [FIN, ACK] Seq=1 Ack=2 Win=8190 Len=0",37.4249,-122.0074,37.4404,-121.8705
11564,78.851521,24.6.173.220,208.91.172.36,TCP,54,10962 > 80 [ACK] Seq=2 Ack=2 Win=256960 Len=0,37.4404,-121.8705,37.4249,-122.0074
11565,78.854297,69.194.244.20,24.6.173.220,TCP,60,"80 > 10968 [FIN, ACK] Seq=1 Ack=2 Win=8190 Len=0",37.4914,-122.211,37.4404,-121.8705
11566,78.85449,24.6.173.220,69.194.244.20,TCP,54,10968 > 80 [ACK] Seq=2 Ack=2 Win=256960 Len=0,37.4404,-121.8705,37.4914,-122.211
11567,78.858178,208.91.172.36,24.6.173.220,TCP,60,"80 > 10970 [FIN, ACK] Seq=1 Ack=2 Win=8190 Len=0",37.4249,-122.0074,37.4404,-121.8705
11568,78.858245,24.6.173.220,208.91.172.36,TCP,54,10970 > 80 [ACK] Seq=2 Ack=2 Win=256960 Len=0,37.4404,-121.8705,37.4249,-122.0074
11569,78.860333,69.16.175.10,24.6.173.220,TCP,60,"80 > 10938 [FIN, ACK] Seq=1 Ack=2 Win=14720 Len=0",33.5083,-112.0717,37.4404,-121.8705
11570,78.860457,24.6.173.220,69.16.175.10,TCP,54,10938 > 80 [ACK] Seq=2 Ack=2 Win=65700 Len=0,37.4404,-121.8705,33.5083,-112.0717
11571,78.862055,69.194.244.13,24.6.173.220,TCP,60,"80 > 10971 [FIN, ACK] Seq=1 Ack=2 Win=8190 Len=0",37.4914,-122.211,37.4404,-121.8705
11572,78.862116,24.6.173.220,69.194.244.13,TCP,54,10971 > 80 [ACK] Seq=2 Ack=2 Win=256960 Len=0,37.4404,-121.8705,37.4914,-122.211
11573,78.862957,66.150.149.24,24.6.173.220,TCP,60,"80 > 10966 [FIN, ACK] Seq=1 Ack=2 Win=8176 Len=0",33.7516,-84.3915,37.4404,-121.8705
11574,78.863081,24.6.173.220,66.150.149.24,TCP,54,10966 > 80 [ACK] Seq=2 Ack=2 Win=65700 Len=0,37.4404,-121.8705,33.7516,-84.3915
11575,78.868234,64.94.107.18,24.6.173.220,TCP,60,80 > 10934 [ACK] Seq=1 Ack=2 Win=5888 Len=0,33.7516,-84.3915,37.4404,-121.8705
11576,78.869005,64.94.107.18,24.6.173.220,TCP,60,"80 > 10934 [FIN, ACK] Seq=1 Ack=2 Win=5888 Len=0",33.7516,-84.3915,37.4404,-121.8705
11577,78.869006,64.94.107.59,24.6.173.220,TCP,60,80 > 10952 [ACK] Seq=1 Ack=2 Win=5888 Len=0,33.7516,-84.3915,37.4404,-121.8705
11578,78.869008,64.94.107.59,24.6.173.220,TCP,60,"80 > 10952 [FIN, ACK] Seq=1 Ack=2 Win=5888 Len=0",33.7516,-84.3915,37.4404,-121.8705
11579,78.869129,24.6.173.220,64.94.107.18,TCP,54,10934 > 80 [ACK] Seq=2 Ack=2 Win=65700 Len=0,37.4404,-121.8705,33.7516,-84.3915
11580,78.869199,24.6.173.220,64.94.107.59,TCP,54,10952 > 80 [ACK] Seq=2 Ack=2 Win=65700 Len=0,37.4404,-121.8705,33.7516,-84.3915
11581,78.869995,66.150.149.23,24.6.173.220,TCP,60,"80 > 10932 [FIN, ACK] Seq=2769 Ack=1026 Win=8176 Len=0",33.7516,-84.3915,37.4404,-121.8705
11582,78.870123,24.6.173.220,66.150.149.23,TCP,54,10932 > 80 [ACK] Seq=1026 Ack=2770 Win=65700 Len=0,37.4404,-121.8705,33.7516,-84.3915
11583,78.93647,199.233.57.41,24.6.173.220,TCP,60,80 > 10949 [ACK] Seq=1 Ack=2 Win=4050 Len=0,38.0,-97.0,37.4404,-121.8705
11584,78.93728,199.233.57.41,24.6.173.220,TCP,60,"80 > 10949 [FIN, ACK] Seq=1 Ack=2 Win=4050 Len=0",38.0,-97.0,37.4404,-121.8705
11585,78.937282,199.233.57.41,24.6.173.220,TCP,60,80 > 10946 [ACK] Seq=1 Ack=2 Win=4050 Len=0,38.0,-97.0,37.4404,-121.8705
11586,78.937283,199.233.57.41,24.6.173.220,TCP,60,"80 > 10946 [FIN, ACK] Seq=1 Ack=2 Win=4050 Len=0",38.0,-97.0,37.4404,-121.8705
11587,78.937447,24.6.173.220,199.233.57.41,TCP,54,10949 > 80 [ACK] Seq=2 Ack=2 Win=66148 Len=0,37.4404,-121.8705,38.0,-97.0
11588,78.937529,24.6.173.220,199.233.57.41,TCP,54,10946 > 80 [ACK] Seq=2 Ack=2 Win=66148 Len=0,37.4404,-121.8705,38.0,-97.0
11589,78.938298,54.243.35.94,24.6.173.220,TCP,60,"80 > 10956 [FIN, ACK] Seq=1 Ack=2 Win=14848 Len=0",39.0437,-77.4875,37.4404,-121.8705
11590,78.938301,54.243.35.94,24.6.173.220,TCP,60,"80 > 10955 [FIN, ACK] Seq=1 Ack=2 Win=14848 Len=0",39.0437,-77.4875,37.4404,-121.8705
11591,78.938495,24.6.173.220,54.243.35.94,TCP,54,10956 > 80 [ACK] Seq=2 Ack=2 Win=65700 Len=0,37.4404,-121.8705,39.0437,-77.4875
11592,78.93855,24.6.173.220,54.243.35.94,TCP,54,10955 > 80 [ACK] Seq=2 Ack=2 Win=65700 Len=0,37.4404,-121.8705,39.0437,-77.4875
11593,79.824229,24.6.173.220,50.16.204.178,TCP,54,"10988 > 80 [FIN, ACK] Seq=1 Ack=1 Win=65700 Len=0",37.4404,-121.8705,39.0437,-77.4875
11594,79.82432,24.6.173.220,184.85.100.46,TCP,54,"10977 > 80 [FIN, ACK] Seq=1 Ack=1 Win=65700 Len=0",37.4404,-121.8705,42.3626,-71.0843
